Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,GMRS 1,462.5625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
2,GMRS 2,462.5875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
3,GMRS 3,462.6125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
4,GMRS 4,462.6375,,0,,88.5,88.5,23,NN,FM,5,,,,,,
5,GMRS 5,462.6625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
6,GMRS 6,462.6875,,0,,88.5,88.5,23,NN,FM,5,,,,,,
7,GMRS 7,462.7125,,0,,88.5,88.5,23,NN,FM,5,,,,,,
8,GMRS 8,467.5625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
9,GMRS 9,467.5875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
10,GMRS 10,467.6125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
11,GMRS 11,467.6375,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
12,GMRS 12,467.6625,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
13,GMRS 13,467.6875,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
14,GMRS 14,467.7125,,0,,88.5,88.5,23,NN,NFM,5,,,,,,
15,GMRS 15,462.55,,0,,88.5,88.5,23,NN,FM,5,,,,,,
16,GMRS 16,462.575,,0,,88.5,88.5,23,NN,FM,5,,Off Road,,,,
17,GMRS 17,462.6,,0,,88.5,88.5,23,NN,FM,5,,,,,,
18,GMRS 18,462.625,,0,,88.5,88.5,23,NN,FM,5,,,,,,
19,GMRS 19,462.65,,0,,88.5,88.5,23,NN,FM,5,,Travel,,,,
20,GMRS 20,462.675,,0,,88.5,88.5,23,NN,FM,5,,,,,,
21,GMRS 21,462.7,,0,,88.5,88.5,23,NN,FM,5,,,,,,
22,GMRS 22,462.725,,0,,88.5,88.5,23,NN,FM,5,,,,,,
23,GMRS15R,462.55,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
24,GMRS16R,462.575,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
25,GMRS17R,462.6,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
26,GMRS18R,462.625,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
27,GMRS19R,462.65,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
28,GMRS20R,462.675,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
29,GMRS21R,462.7,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
30,GMRS22R,462.725,+,5,Tone,141.3,88.5,23,NN,FM,5,,,,,,
31,GMRSPHX,462.65,+,5,TSQL,123,123,23,NN,FM,5,,,,,,
32,GMRSSB,462.725,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
40,2MCALL,146.52,,0,,88.5,88.5,23,NN,FM,5,,National Call Frequency,,,,
41,MAAMRAA,145.21,-,0.6,Tone,162.2,88.5,23,NN,FM,5,,Central AZ College - Maricopa Campus,,,,
42,MTLEMON,145.25,-,0.6,Tone,156.7,88.5,23,NN,FM,5,,,,,,
43,CHASETW,146.64,-,0.6,Tone,162.2,88.5,23,NN,FM,5,,,,,,
44,MINGUS,146.82,-,0.6,Tone,162.2,88.5,23,NN,FM,5,,Cottonwood. Mingus Mountain -  Metrolink,,,,
45,MTORD+,146.92,-,0.6,Tone,162.2,88.5,23,NN,FM,5,,"Sunflower, Mt. Ord. Autopatch, MetroLink",,,,
46,WTTANKS,146.94,-,0.6,TSQL,162.2,162.2,23,NN,FM,5,, W7ARA White Tanks,,,,
47,BELLBUT,146.98,-,0.6,TSQL,100,100,23,NN,FM,5,,"Bell Butte, Tempe",,,,
48,USERY P,147.12,+,0.6,Tone,162.2,88.5,23,NN,FM,5,,Mt. Ord – Rimlink,,,,
49,RIMLINK,147.14,+,0.6,Tone,162.2,88.5,23,NN,FM,5,,,,,,
50,MTORD,147.36,+,0.6,Tone,162.2,88.5,23,NN,FM,5,,,,,,
70,70CMCAL,446,-,5,,88.5,88.5,23,NN,FM,5,,National Call Frequency,,,,
71,SMOUNT,442.55,+,5,Tone,100,88.5,23,NN,FM,5,,Skywarn Sector 2 South Mountain ,,,,
72,W7MOT,442.975,+,5,Tone,100,88.5,23,NN,FM,5,,Chandler Regional Medical Center,,,,
73,CHASE44,444.3,+,5,Tone,100,88.5,23,NN,FM,5,,,,,,
74,MTORD,444.5,+,5,Tone,100,88.5,23,NN,FM,5,,MT. ORD,,,,
75,MINGUS,447.45,-,5,Tone,123,88.5,23,NN,FM,5,,Cottonwood. Mingus Mountain – Freedom Net link,,,,
76,MESA+,449.625,-,5,Tone,100,88.5,23,NN,FM,5,,,,,,
77,MESA,450.625,-,5,Tone,100,88.5,23,NN,FM,5,,,,,,
101,WX1PA7,162.55,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
102,WX2PA1,162.4,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
103,WX3PA4,162.475,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
104,WX4PA2,162.425,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
105,WX5PA3,162.45,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
106,WX6PA5,162.5,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
107,WX7PA6,162.525,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
108,WX8,161.65,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
109,WX9,161.775,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
110,WX10,163.275,off,0,,88.5,88.5,23,NN,FM,5,S,NOAA,,,,
111,PHXSFNL,120.4,off,0,,88.5,88.5,23,NN,FM,5,,Sky Harbor Final Approach - South Runways (7/25),,,,
112,PHXNFNL,126.6,off,0,,88.5,88.5,23,NN,FM,5,,Sky Harbor Final Approach – North Runways (8/26),,,,
113,PHSINC,134.85,off,0,,88.5,88.5,23,NN,FM,5,,Sky Harbor Incident,,,,
114,KTAR2,450.4875,off,0,,88.5,88.5,23,NN,FM,5,,KTAR-AM 620 - Traffic Reports/Remotes 2,,,,
115,KTAR1,450.8,off,0,,88.5,88.5,23,NN,FM,5,,KTAR-AM 620 - Traffic Reports/Remotes,,,,
116,TV3,450.1875,off,0,,88.5,88.5,23,NN,FM,5,,KTVK-TV 3 (CNN) - Phoenix Assignment Desk ,,,,
117,FOX2,450.45,off,0,,88.5,88.5,23,NN,FM,5,,KSAZ-TV 10 (Fox) - ENG/Live Trucks,,,,
